team,name,pos,est_return_date,status,comment,scraped_date
ATL,Malik Verdon,S,Nov 9,Out,"Aug 27: The Falcons moved Verdon to the reserve/non-football injury list Tuesday, Terrin Waack, Will McFadden and Tori McElhaney of the team's official site report.",2025-11-05 19:42:49
ATL,Troy Andersen,LB,Nov 9,Out,"Aug 26: The Falcons placed Anderson on the reserve/PUP list Tuesday, Terrin Waack, Will McFadden and Tori McElhaney of the team's official site report.",2025-11-05 19:42:49
ATL,Kaleb McGary,OT,Feb 9,Injured Reserve,"Aug 26: The Falcons placed McGary on season-ending IR on Tuesday, Mike Garafolo of NFL Network reports.",2025-11-05 19:42:49
ATL,Emory Jones,QB,Feb 9,Injured Reserve,"Aug 19: Jones (concussion) reverted to injured reserve after clearing waivers Tuesday, Aaron Wilson of KPRC 2 Houston reports.",2025-11-05 19:42:49
BAL,Broderick Washington Jr.,DT,Nov 23,Injured Reserve,"Nov 3: Head coach John Harbaugh told reporters Monday that Washington successfully underwent Achilles tendon surgery, Jonas Shaffer of TheBaltimoreBanner.com reports.",2025-11-05 19:42:49
BAL,Tavius Robinson,LB,Nov 27,Injured Reserve,"Oct 22: The Ravens placed Robinson (foot) on injured reserve Wednesday, Ryan Mink of the team's official site reports.",2025-11-05 19:42:49
BAL,Nnamdi Madubuike,DT,Feb 9,Injured Reserve,"Sep 29: Head coach Jon Harbaugh told reporters Monday that Madubuike (neck) won't return this season, Jamison Hensley of ESPN.com reports.",2025-11-05 19:42:49
BAL,Ar'Darius Washington,S,Dec 7,Out,"Aug 27: The Ravens placed Washington (Achilles) on the reserve/PUP list Tuesday, Jamison Hensley of ESPN.com reports.",2025-11-05 19:42:49
BAL,Adisa Isaac,LB,Nov 9,Injured Reserve,"Aug 27: Baltimore placed Isaac (elbow) on its injured reserve list Tuesday, Jamison Hensley of ESPN.com reports.",2025-11-05 19:42:49
BAL,Dayton Wade,WR,Feb 9,Injured Reserve,"Aug 26: The Ravens placed Wade (ribs) on injured reserve Tuesday, Jamison Hensley of ESPN.com reports.",2025-11-05 19:42:49
BAL,Robert Longerbeam,CB,Feb 9,Injured Reserve,"Aug 10: The Ravens placed Longerbeam (knee) on injured reserve Sunday, Jamison Hensley of ESPN.com reports.",2025-11-05 19:42:49
BAL,Bilhal Kone,CB,Feb 9,Injured Reserve,Aug 9: The Ravens placed Kone (knee) on injured reserve Saturday.,2025-11-05 19:42:49
BUF,AJ Epenesa,DE,Nov 9,Questionable,Nov 5: Epenesa (concussion) did not participate at practice Wednesday.,2025-11-05 19:42:49
BUF,Terrel Bernard,LB,Nov 9,Questionable,Nov 5: Bernard (ankle) was limited in practice Wednesday.,2025-11-05 19:42:49
BUF,Christian Benford,CB,Nov 9,Questionable,Nov 5: Benford (groin) was limited in practice Wednesday.,2025-11-05 19:42:49
BUF,DaQuan Jones,DT,Nov 9,Questionable,"Nov 5: Head coach Sean McDermott told reporters that Jones (calf) won't practice Wednesday, Maddy Glab of the Bills' official site reports.",2025-11-05 19:42:49
BUF,Shaq Thompson,LB,Nov 9,Questionable,"Nov 5: Head coach Sean McDermott told reporters that Thompson (hamstring) won't practice Wednesday, Maddy Glab of the Bills' official site reports.",2025-11-05 19:42:49
BUF,Taron Johnson,CB,Nov 9,Questionable,"Nov 5: Head coach Sean McDermott told reporters that Johnson (groin) won't practice Wednesday, Maddy Glab of the Bills' official site reports.",2025-11-05 19:42:49
BUF,Joey Bosa,DE,Nov 9,Questionable,"Nov 5: Head coach Sean McDermott told reporters that Bosa (wrist) won't practice Wednesday, Maddy Glab of the Bills' official site reports.",2025-11-05 19:42:49
BUF,Joshua Palmer,WR,Nov 9,Questionable,"Nov 5: Palmer (knee/ankle) will be limited at practice Wednesday, Maddy Glab of the Bills' official site reports.",2025-11-05 19:42:49
BUF,James Cook III,RB,Nov 9,Questionable,"Nov 5: Cook (ankle/foot) won't practice Wednesday, Maddy Glab of the Bills' official site reports.",2025-11-05 19:42:49
BUF,Dorian Strong,CB,Nov 20,Injured Reserve,"Nov 3: Head coach Sean McDermott was unable to provide a timeline on Strong's (neck) return Monday, Matt Parrino of The Syracuse Post-Standard reports.",2025-11-05 19:42:49
BUF,Michael Hoecht,DE,Feb 9,Injured Reserve,"Nov 3: The Bills placed Hoecht on injured reserve Monday due to a torn right Achilles which will sideline him for the rest of the 2025, season, Alaina Getzenberg of ESPN.com reports.",2025-11-05 19:42:49
BUF,Ed Oliver,DT,Jan 4,Injured Reserve,"Nov 2: Oliver (biceps) has a chance to return for the first week of the playoffs, Ian Rapoport of NFL Network reports.",2025-11-05 19:42:49
BUF,Taylor Rapp,S,Jan 4,Injured Reserve,"Oct 31: Rapp underwent surgery on his injured knee this week and is likely going to miss the remainder of the season, Alaina Getzenberg of ESPN.com reports.",2025-11-05 19:42:49
BUF,T.J. Sanders,DT,Nov 16,Injured Reserve,"Oct 11: The Bills placed Sanders (knee) on injured reserve Saturday, Alaina Getzenberg of ESPN reports.",2025-11-05 19:42:49
BUF,Damar Hamlin,S,Nov 16,Injured Reserve,"Oct 11: The Bills placed on Hamlin (pectoral) on injured reserve Saturday, Alaina Getzenberg of ESPN.com reports.",2025-11-05 19:42:49
BUF,Tyler Bass,PK,Nov 9,Injured Reserve,"Oct 9: Bills coach Sean McDermott said Thursday that Bass (left hip/groin) is among players on IR who will not have their practice windows opened yet, Joe Buscaglia of The Athletic reports.",2025-11-05 19:42:49
BUF,Cameron Johnston,P,Nov 9,Injured Reserve,Sep 30: The Bills placed Johnston (foot/ankle) on injured reserve Tuesday.,2025-11-05 19:42:49
BUF,DeWayne Carter,DT,Feb 9,Injured Reserve,Sep 4: The Bills placed Carter (Achilles) on injured reserve Thursday.,2025-11-05 19:42:49
BUF,Wande Owens,S,Feb 9,Injured Reserve,"Aug 27: Owens (undisclosed) reverted to the Bills' injured reserve list Wednesday, Alaina Getzenberg of ESPN.com reports.",2025-11-05 19:42:49
BUF,Tylan Grable,OT,Nov 9,Injured Reserve,Aug 27: Grable (concussion) was placed on injured reserve with a designation to return Tuesday.,2025-11-05 19:42:49
CAR,Lathan Ransom,S,Nov 9,Questionable,"Nov 5: Ransom (illness) was a limited participant in Wednesday's practice, Darin Gantt of the Panthers' official site reports.",2025-11-05 19:42:49
CAR,Rico Dowdle,RB,Nov 9,Questionable,,2025-11-05 19:42:49
CAR,Chandler Zavala,G,Nov 9,Questionable,"Nov 5: Zavala (elbow) didn't practice Wednesday, Mike Kaye of The Charlotte Observer reports.",2025-11-05 19:42:49
CAR,Brady Christensen,G,Feb 9,Injured Reserve,"Oct 30: Carolina placed Christensen (Achilles) on injured reserve Thursday, Darin Gantt of the team's official site reports.",2025-11-05 19:42:49
CAR,Patrick Jones II,LB,Feb 9,Injured Reserve,"Oct 18: Jones (back) was placed on injured reserve Saturday, Joe Person of The Athletic reports.",2025-11-05 19:42:49
CAR,David Moore,WR,Dec 14,Injured Reserve,"Oct 1: Moore suffered a dislocated elbow in last Sunday's loss to the Patriots, Joe Person of The Athletic reports.",2025-11-05 19:42:49
CAR,Robert Hunt,G,Dec 14,Injured Reserve,"Sep 22: Head coach Dave Canales told reporters Monday that Hunt could miss the rest of the season after undergoing successful surgery to repair a torn biceps, Joe Person of The Athletic reports.",2025-11-05 19:42:49
CAR,Damarri Mathis,CB,Feb 9,Injured Reserve,Sep 6: The Panthers placed Mathis (knee) on injured reserve Saturday.,2025-11-05 19:42:49
CAR,Popo Aumavae,DT,Feb 9,Injured Reserve,"May 9: Aumavae (Achilles) cleared waivers and reverted to injured reserve Friday, Aaron Wilson of KPRC 2 Houston reports.",2025-11-05 19:42:49
CAR,Jonathon Brooks,RB,Feb 9,Out,"May 8: The Panthers are placing Brooks on the physically unable to perform list, ruling him out for the entire 2025 season.",2025-11-05 19:42:49
CHI,D'Andre Swift,RB,Nov 9,Questionable,"Nov 5: Swift (groin) returned to practice Wednesday and said afterward that he'll play this Sunday against the Giants, Patrick Finley of the Chicago Sun-Times reports.",2025-11-05 19:42:49
CHI,Cole Kmet,TE,Nov 9,Questionable,Nov 5: Kmet (concussion) practiced in a limited capacity Wednesday.,2025-11-05 19:42:49
CHI,Luther Burden III,WR,Nov 9,Questionable,Nov 5: Burden (concussion) was a full participant in Wednesday's practice.,2025-11-05 19:42:49
CHI,DJ Moore,WR,Nov 9,Questionable,Nov 5: Moore (hip/groin) did not practice Wednesday.,2025-11-05 19:42:49
CHI,Kyle Monangai,RB,Nov 9,Questionable,Nov 5: Mongai was limited at practice Wednesday due to an ankle injury.,2025-11-05 19:42:49
CHI,Rome Odunze,WR,Nov 9,Questionable,Nov 5: Odunze (ankle/heel) did not practice Wednesday.,2025-11-05 19:42:49
CHI,T.J. Edwards,LB,Nov 9,Questionable,,2025-11-05 19:42:49
CHI,Kevin Byard III,S,Nov 9,Questionable,,2025-11-05 19:42:49
CHI,Dayo Odeyingbo,DE,Feb 9,Injured Reserve,Nov 4: The Bears placed Odeyingbo (Achilles) on injured reserve Tuesday.,2025-11-05 19:42:49
CHI,Dominique Robinson,DE,Nov 9,Questionable,,2025-11-05 19:42:49
CHI,Roschon Johnson,RB,Nov 9,Questionable,,2025-11-05 19:42:49
CHI,Josh Blackwell,CB,Nov 9,Questionable,Nov 2: Blackwell was diagnosed with a concussion and ruled out for the rest of Sunday's game against the Bengals.,2025-11-05 19:42:49
CHI,Amen Ogbongbemiga,LB,Nov 9,Injured Reserve,Nov 1: Ogbongbemiga (knee) has been downgraded and ruled out ahead of Sunday's matchup against the Bengals.,2025-11-05 19:42:49
CHI,Shemar Turner,DT,Feb 9,Injured Reserve,Oct 28: The Bears placed Turner (knee) on injured reserve Tuesday.,2025-11-05 19:42:49
CHI,Braxton Jones,OT,Nov 23,Injured Reserve,Oct 25: Jones (knee) was placed on the injured reserve list Saturday.,2025-11-05 19:42:49
CHI,Kyler Gordon,CB,Nov 23,Injured Reserve,Oct 25: Gordon (groin/calf) was placed on the injured reserve list Saturday.,2025-11-05 19:42:49
CHI,Jaylon Johnson,CB,Nov 9,Injured Reserve,"Sep 22: Johnson (groin) will undergo core-muscle surgery this week, Scott Bair of Marquee Sports Network reports.",2025-11-05 19:42:49
CHI,Kiran Amegadjie,OT,Nov 9,Injured Reserve,Sep 20: The Bears placed Amegadjie (elbow) on injured reserve Saturday.,2025-11-05 19:42:49
CHI,Zah Frazier,CB,Feb 9,Out,"Aug 27: Bears general manager Ryan Poles said Tuesday that Frazier will remain on the reserve/non-football injury list the entire 2025 campaign for a ""personal"" reason, Courtney Cronin of ESPN reports.",2025-11-05 19:42:49
CHI,Terell Smith,CB,Feb 9,Injured Reserve,Aug 24: The Bears placed Smith (knee) on injured reserve Sunday.,2025-11-05 19:42:49
CHI,Deion Hankins,RB,Feb 9,Injured Reserve,"Aug 20: Hankins (shoulder/quadriceps) was placed on injured reserve Wednesday, Adam Hoge of AllCHGO.com reports.",2025-11-05 19:42:49
CIN,Marco Wilson,CB,Nov 16,Out,,2025-11-05 19:42:49
CIN,Dalton Risner,G,Nov 16,Out,,2025-11-05 19:42:49
CIN,Trey Hendrickson,DE,Nov 16,Out,,2025-11-05 19:42:49
CIN,Shemar Stewart,DE,Nov 16,Questionable,"Nov 3: Head coach Zac Taylor said Monday that Stewart is considered ""week-to-week"" due to a knee injury he sustained during the Bengals' 47-42 loss to the Bears, Ben Baby of ESPN.com reports.",2025-11-05 19:42:49
CIN,Samaje Perine,RB,Nov 16,Questionable,"Nov 3: Bengals head coach Zac Taylor said that Perine sustained a high-ankle sprain in Sunday's 47-42 loss to the Bears and will need a couple of weeks to recover, Jay Morrison of SI.com reports.",2025-11-05 19:42:49
CIN,Matt Lee,C,Dec 7,Injured Reserve,Oct 28: The Bengals placed Lee (knee) on injured reserve Tuesday.,2025-11-05 19:42:49
CIN,Shaka Heyward,LB,Dec 7,Injured Reserve,Oct 28: The Bengals placed Heyward (fibula) on injured reserve Tuesday.,2025-11-05 19:42:49
CIN,Mike Gesicki,TE,Nov 23,Injured Reserve,Oct 15: The Bengals placed Gesicki (pectoral) on injured reserve Wednesday.,2025-11-05 19:42:49
CIN,Joe Burrow,QB,Dec 14,Injured Reserve,"Sep 21: Burrow, who underwent surgery Friday to address a Grade 3 turf toe injury, is facing a three-month absence, Ian Rapoport of NFL Network reports.",2025-11-05 19:42:49
CIN,Cordell Volson,G,Feb 9,Injured Reserve,Aug 27: Volson (shoulder) reverted to the Bengals' injured reserve list Wednesday.,2025-11-05 19:42:49
CIN,Daijahn Anthony,S,Nov 16,Injured Reserve,"Aug 27: Anthony (hamstring) was placed on injured reserve by the Bengals on Tuesday, but he was designated to return.",2025-11-05 19:42:49
CIN,Erick All Jr.,TE,Feb 9,Out,Aug 26: The Bengals placed All (knee) on the reserve/PUP list Tuesday.,2025-11-05 19:42:49
CLE,Myles Harden,CB,Nov 9,Questionable,"Nov 5: Harden was a limited participant in Wednesday's practice due to an ankle injury, Mary Kay Cabot of The Cleveland Plain Dealer reports.",2025-11-05 19:42:49
CLE,Isaiah McGuire,DE,Nov 9,Questionable,"Nov 5: McGuire did not participate in Wednesday's practice due to an illness, Mary Kay Cabot of The Cleveland Plain Dealer reports.",2025-11-05 19:42:49
CLE,Cedric Tillman,WR,Nov 9,Injured Reserve,"Nov 5: Tillman (hamstring) was a full practice participant Wednesday, Scott Petrak of the Elyria Chronicle-Telegram reports.",2025-11-05 19:42:49
CLE,Carson Schwesinger,LB,Nov 9,Questionable,"Nov 5: Schwesinger (ankle) won't practice Wednesday, Daniel Oyefusi of ESPN.com reports.",2025-11-05 19:42:49
CLE,Shedeur Sanders,QB,Nov 9,Questionable,"Nov 5: Sanders (back) will practice in a limited fashion Wednesday, Mary Kay Cabot of The Cleveland Plain Dealer reports.",2025-11-05 19:42:49
CLE,Cam Robinson,OT,Nov 9,Questionable,,2025-11-05 19:42:49
CLE,Isaiah Bond,WR,Nov 9,Questionable,"Nov 5: Bond (foot) is not slated to practice Wednesday, Daniel Oyefusi of ESPN.com reports.",2025-11-05 19:42:49
CLE,Adin Huntington,DE,Nov 9,Questionable,,2025-11-05 19:42:49
CLE,Deshaun Watson,QB,Nov 23,Out,"Nov 3: Browns head coach Kevin Stefanski said Monday that Watson (Achilles) won't have his 21-day practice window opened this week, Scott Petrak of the Elyria Chronicle-Telegram reports.",2025-11-05 19:42:49
CLE,Tyson Campbell,CB,Nov 9,Questionable,"Oct 27: Campbell is in concussion protocol following Sunday's 32-13 loss to the Patriots, Scott Petrak of the Elyria Chronicle-Telegram reports.",2025-11-05 19:42:49
CLE,Rayshawn Jenkins,S,Nov 9,Questionable,Oct 26: Jenkins (groin) has been ruled out for the remainder of Sunday's Week 8 game against New England.,2025-11-05 19:42:49
CLE,DeAndre Carter,WR,Nov 9,Injured Reserve,"Sep 29: Head coach Kevin Stefanski told reporters Monday that Carter (knee) will miss ""weeks,"" Daniel Oyefusi of ESPN.com reports.",2025-11-05 19:42:49
CLE,Dawand Jones,OT,Feb 9,Injured Reserve,"Sep 26: Jones (knee/hamstring) underwent surgery to address a torn LCL in his right knee and a hamstring avulsion Thursday, Chris Easterling of the Akron Beacon Journal reports.",2025-11-05 19:42:49
CLE,Winston Reid,LB,Nov 9,Injured Reserve,Aug 27: Reid (back) was placed on injured reserve Tuesday.,2025-11-05 19:42:49
CLE,Nathaniel Watson,LB,Feb 9,Injured Reserve,Aug 21: Watson (biceps) was placed on injured reserve Thursday.,2025-11-05 19:42:49
CLE,Anthony Kendall,CB,Feb 9,Injured Reserve,"Aug 6: Kendall (undisclosed) reverted to Cleveland's injured reserve list Wednesday, Aaron Wilson of KPRC 2 Houston reports.",2025-11-05 19:42:49
CLE,Martin Emerson Jr.,CB,Feb 9,Injured Reserve,"Jul 30: Emerson (Achilles) was ruled out for the season Wednesday, Mary Kay Cabot of The Cleveland Plain Dealer reports.",2025-11-05 19:42:49
CLE,Justin Osborne,C,Feb 9,Injured Reserve,Jun 10: Osborne (undisclosed) reverted to Cleveland's injured reserve Tuesday.,2025-11-05 19:42:49
CLE,Jeremiah Owusu-Koramoah,LB,Feb 9,Out,May 12: The Browns placed Owusu-Koramoah (neck) on the Reserve/Physically Unable to to Perform list Monday.,2025-11-05 19:42:49
DAL,Shavon Revel Jr.,CB,Nov 17,Out,"Nov 4: Head coach Brian Schottenheimer told reporters Tuesday that Revel (knee) is ""trending"" toward making his 2025 debut in the Cowboys' Week 11 road tilt against the Raiders on Monday, Nov. 17, Joe Hoyt of The Dallas Morning News reports.",2025-11-05 19:42:49
DAL,DeMarvion Overshown,LB,Nov 17,Out,"Nov 4: Head coach Brian Schottenheimer said Tuesday that Overshown (knee) is ""trending"" toward being activated from injured reserve ahead of the Cowboys' Week 11 clash against the Raiders on Monday, Nov. 17, Joe Hoyt of The Dallas Morning News reports.",2025-11-05 19:42:49
DAL,Logan Wilson,LB,Nov 16,Out,"Nov 4: The Cowboys acquired Wilson (calf) from the Bengals on Tuesday in exchange for a 2026 seventh-round draft pick, Ian Rapoport of NFL Network reports.",2025-11-05 19:42:49
DAL,Donovan Wilson,S,Nov 17,Out,,2025-11-05 19:42:49
DAL,Ajani Cornelius,OT,Nov 17,Out,,2025-11-05 19:42:49
DAL,Alijah Clark,S,Nov 17,Out,,2025-11-05 19:42:49
DAL,Solomon Thomas,DT,Nov 17,Questionable,Nov 3: Thomas is questionable to return to Monday's clash against the Cardinals due to a calf issue.,2025-11-05 19:42:49
DAL,Markquese Bell,S,Nov 17,Questionable,Nov 3: Bell is questionable to return on Monday's Week 9 matchup against the Cardinals due to cramps.,2025-11-05 19:42:49
DAL,Terence Steele,OT,Nov 17,Questionable,"Nov 3: Steele was added to the Cowboys' injury report for Monday's game against the Cardinals due to a migraine but will be active for the game, Calvin Watkins of The Dallas Morning News reports.",2025-11-05 19:42:49
DAL,Jack Sanborn,LB,Dec 4,Injured Reserve,Nov 3: Sanborn (groin) was placed on the injured reserve list Monday.,2025-11-05 19:42:49
DAL,Perrion Winfrey,DT,Nov 17,Injured Reserve,"Nov 1: Winfrey (back) has been ruled out ahead of Monday's game against the Cowboys, Todd Archer of ESPN.com reports.",2025-11-05 19:42:49
DAL,Trevon Diggs,CB,Nov 27,Injured Reserve,"Oct 30: Diggs (concussion/knee) attended practice Thursday, Joe Hoyt of The Dallas Morning News reports.",2025-11-05 19:42:49
DAL,Trevor Keegan,G,Nov 27,Injured Reserve,Oct 21: The Cowboys placed Keegan (neck) on injured reserve Tuesday.,2025-11-05 19:42:49
DAL,Miles Sanders,RB,Feb 9,Injured Reserve,Oct 11: The Cowboys placed Sanders (knee/ankle) on injured reserve Saturday.,2025-11-05 19:42:49
DAL,Malik Hooker,S,Nov 17,Injured Reserve,Oct 4: Hooker (toe) was placed on injured reserve Saturday.,2025-11-05 19:42:49
DAL,John Stephens Jr.,TE,Nov 17,Injured Reserve,"Aug 28: The previously terminated contract between the Cowboys and Stephens (undisclosed) was reinstated Thursday, and he has been placed on injured reserve, Aaron Wilson of KPRC 2 Houston reports.",2025-11-05 19:42:49
DAL,Phil Mafah,RB,Nov 17,Injured Reserve,Aug 27: The Cowboys placed Mafah (shoulder) on injured reserve Wednesday.,2025-11-05 19:42:49
DAL,Payton Turner,DE,Nov 17,Injured Reserve,"Aug 26: The Cowboys placed Turner (ribs) on injured reserve Tuesday, ruling him out for at least the first four games of the regular season.",2025-11-05 19:42:49
DAL,Rob Jones,G,Feb 9,Injured Reserve,"Aug 8: Jones (neck) was placed on season-ending injured reserve Friday, Nick Eatman of the Cowboys' official site reports.",2025-11-05 19:42:49
DAL,Josh Butler,CB,Nov 17,Out,"Jul 21: Butler (knee) was placed on the active/PUP list Monday, Calvin Watkins of the Dallas Morning News reports.",2025-11-05 19:42:49
DEN,Marvin Mims Jr.,WR,Nov 16,Out,Nov 5: Mims (concussion) has been ruled out for Thursday's game against Las Vegas.,2025-11-05 19:42:49
DEN,Pat Surtain II,CB,Nov 16,Out,,2025-11-05 19:42:49
DEN,Nate Adkins,TE,Nov 16,Out,,2025-11-05 19:42:49
DEN,Brandon Jones,S,Nov 6,Questionable,Nov 4: Jones (foot) was a limited participant in Tuesday's walkthrough.,2025-11-05 19:42:49
DEN,P.J. Locke,S,Nov 6,Questionable,,2025-11-05 19:42:49
DEN,Lucas Krull,TE,Jan 4,Injured Reserve,"Oct 27: Krull underwent surgery to repair the the fractured fifth metatarsal in his left foot Monday and is expected to be out for eight weeks, Chris Tomasson of The Denver Gazette reports.",2025-11-05 19:42:49
DEN,Garret Wallow,LB,Nov 16,Injured Reserve,"Oct 14: The Broncos placed Wallow (hamstring) on injured reserve Tuesday, Ben Swanson of the team's official site reports.",2025-11-05 19:42:49
DEN,Matt Peart,OT,Nov 16,Injured Reserve,Oct 14: The Broncos placed Peart (knee) on injured reserve Tuesday.,2025-11-05 19:42:49
DEN,Ben Powers,G,Dec 7,Injured Reserve,"Oct 11: The Broncos placed Powers (biceps) on injured reserve Saturday, Chris Tomasson of The Denver Gazette reports.",2025-11-05 19:42:49
DEN,Drew Sanders,LB,Nov 16,Injured Reserve,"Aug 27: Sanders (foot) was placed on injured reserve with a designation to return Tuesday, Aric DiLalla of the Broncos' official website reports.",2025-11-05 19:42:49
DEN,Michael Burton,FB,Feb 9,Injured Reserve,"Aug 26: Burton was placed on injured reserve by the Broncos on Tuesday, Aric DiLalla of the team's official website reports.",2025-11-05 19:42:49
DEN,Nick Gargiulo,G,Feb 9,Injured Reserve,"Aug 19: Head coach Sean Payton announced Tuesday that it was an ACL injury that landed Gargiulo on injured reserve, Aric DiLalla of the Broncos' official site reports.",2025-11-05 19:42:49
DEN,Matt Henningsen,DE,Feb 9,Injured Reserve,"Aug 11: Henningsen (Achilles) reverted to the Broncos' injured reserve Monday, Chris Tomasson of The Denver Gazette reports.",2025-11-05 19:42:49
DEN,Johnny Walker Jr.,LB,Feb 9,Injured Reserve,"Jul 31: Walker (undisclosed) was placed on injured reserve by the Broncos on Thursday, Aric DiLalla of the team's official site reports.",2025-11-05 19:42:49
DET,Grant Stuard,LB,Nov 9,Questionable,,2025-11-05 19:42:49
DET,Dan Skipper,OT,Nov 9,Questionable,,2025-11-05 19:42:49
DET,Jacob Saylors,RB,Nov 9,Questionable,,2025-11-05 19:42:49
DET,Pat O'Connor,DE,Nov 9,Questionable,,2025-11-05 19:42:49
DET,Christian Mahogany,G,Dec 4,Injured Reserve,,2025-11-05 19:42:49
